Unnamed: 0,team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,receiving_yards,air_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,fumble_lost,total_tds,total_yards,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,yps,td_pct,yptouch,rush_pct_off,pass_pct_off,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,adot,air_yards_share,target_share,safety,interception_def,fumble_def,fumble_forced,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,win,loss,tie,win_pct,rush_pct_def,pass_pct_def,average_safety,average_interception,average_fumble,average_fumble_forced,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,QB_Fantasy_Pts,RB_Fantasy_Pts,WR_Fantasy_Pts
0,ARI,2025,REG,2512,273,183,90,1822,1822,1901,900,204,892,94,52,6,12,4,5,3,18,3435,506,204,302,172,2,6.8380218419729175,0.0357232461868732,8.918112212311366,0.4057771591454993,0.5942228408545007,0.6744370134864104,0.0139384700665188,0.0439804579575056,6.769834711244289,0.0459310474853071,7.105188016851303,7.25006533780621,10.042925254862595,0.0281315308254963,4.384506223248617,6.8838048924985165,0.7502408649527947,0.5594778514132837,1,5,1,9,298,240,12,17.0,44,0,496,191,305,3,5,0,0.375,0.3911087245712683,0.6088912754287317,0.1366071428571428,0.4380952380952381,0.0636904761904761,0.4705357142857143,33.181845238095235,28.707738095238096,1.5422619047619048,1.5267857142857142,4.539583333333334,0.0,166.7,182.2,230.2
1,ATL,2025,REG,2687,270,167,103,1832,1832,2178,852,212,934,89,52,7,8,3,7,4,15,3535,493,212,281,143,0,7.186957150929265,0.0305783701124495,9.40285369304562,0.4251800693379856,0.5748199306620144,0.6269580975558046,0.0106216457960644,0.0299224339109207,6.993114133042927,0.0311254671430193,7.186292165850585,8.373305927557732,11.008815389521912,0.0295916118526412,4.2445249701164025,8.106512399563048,0.8626046936950915,0.5570677399949342,0,7,0,6,275,235,9,22.0,41,0,439,227,212,3,5,0,0.375,0.5110125037612796,0.4889874962387203,0.0,0.6592261904761905,0.0,0.4526785714285714,26.261011904761904,23.826785714285712,0.8690476190476191,2.156547619047619,4.714583333333334,0.0,123.66,253.6,216.9
2,BAL,2025,REG,2548,208,147,61,1630,1630,1685,656,208,1084,74,61,8,15,5,10,5,23,3669,440,208,232,196,0,8.584729615374203,0.0543197062874469,10.609639449316102,0.470494760601892,0.529505239398108,0.7139959054036168,0.026214349376114,0.0750009585945236,8.183299467054097,0.0759955100201095,8.325484072087333,8.465910870927319,11.35800338442013,0.0405847275389284,5.2047029541931,8.313944612245162,0.6982021645367591,0.4987229906153204,0,3,0,6,318,234,14,11.0,37,0,516,222,294,3,5,0,0.375,0.4314755096682455,0.5685244903317545,0.0,0.2169642857142857,0.0,0.5797619047619047,38.03928571428571,24.69464285714286,1.6863095238095238,1.0398809523809525,4.311011904761905,0.0,165.64,195.1,248.8
3,BUF,2025,REG,3084,229,160,69,1887,1887,1694,976,256,1292,97,75,16,13,4,7,2,29,3996,502,256,246,235,0,7.956343729871143,0.0577955272548223,9.641379118789423,0.5110275041742995,0.4889724958257004,0.695730675744701,0.0193294608617189,0.0581136517759939,8.245859052705125,0.0591915813654944,8.458041620215534,7.496448008513226,11.908445381611145,0.0582598340557361,5.043138548410536,7.341224731258041,0.5570429276047715,0.4636065870580769,0,4,1,10,310,173,7,25.0,52,0,434,211,223,6,2,0,0.75,0.4870704377415337,0.5129295622584662,0.0,0.2494047619047619,0.1366071428571428,1.5035714285714286,35.349404761904765,13.816369047619048,0.6729166666666666,2.186607142857143,4.031547619047619,0.0,211.92,203.5,287.9
4,CAR,2025,REG,2796,281,174,107,1683,1683,1927,774,269,1258,95,72,6,12,7,8,5,19,3615,570,269,301,164,6,6.315786414135685,0.0335522129908495,8.124320706620118,0.4798715419379725,0.5201284580620276,0.6199949895783229,0.0267027417027417,0.039621011704345,6.035805274971942,0.0441894244153482,6.492610551686491,7.29904007903077,9.699019697408891,0.0215818903318903,4.556529127954566,6.835880431297098,0.7029073056806844,0.4869745524521247,0,7,1,2,312,246,12,14.0,33,1,500,219,281,6,3,0,0.6666666666666666,0.4396736397913187,0.5603263602086813,0.0,0.823015873015873,0.1353174603174603,0.1353174603174603,32.21455026455026,20.63055555555556,0.839021164021164,0.707010582010582,2.111507936507937,0.1353174603174603,114.48,234.3,260.7
5,CHI,2025,REG,3027,263,162,101,1965,1965,2167,1017,235,1155,92,68,9,13,4,6,1,23,4117,512,235,277,209,6,8.023841594484146,0.0443431172810073,10.372302246227148,0.4577559042173522,0.5422440957826478,0.6156436205551451,0.01526342315816,0.0502065657238071,7.553837239182067,0.0515978204238853,7.7992488709172285,8.565711519717604,12.235112513905085,0.0373161832400962,4.742083032028684,8.297348974458775,0.7427445759562865,0.5216667426129555,0,13,0,6,294,221,21,17.0,35,1,446,205,241,5,3,0,0.625,0.4666342400855154,0.5333657599144845,0.0,1.1985119047619048,0.0,0.3517857142857142,31.85059523809524,22.41845238095238,3.244642857142857,1.6270833333333334,3.983630952380953,0.3241071428571428,188.82,206.1,329.98
6,CIN,2025,REG,2774,333,213,120,2200,2200,2446,1021,169,709,106,46,5,19,10,8,4,24,4068,524,169,355,206,0,7.556460560302284,0.0438866427226509,10.39919527131338,0.3293668404705708,0.6706331595294291,0.6362068908375584,0.0286993258033447,0.052709567626916,6.34663989429442,0.0547632063725761,6.655954474441161,7.61062210954358,9.967557324664638,0.0258596192100028,4.082313021827088,7.242960218657648,0.9353653411542456,0.6437860665958288,0,8,0,2,349,332,14,13.0,36,0,587,280,307,4,5,0,0.4444444444444444,0.4794419999644587,0.5205580000355412,0.0,1.191798941798942,0.0,0.2058201058201058,34.5531746031746,32.16296296296296,2.874867724867725,1.531084656084656,3.808333333333333,0.0,205.7,150.7,372.2
7,CLE,2025,REG,2108,302,178,124,1517,1517,1989,798,190,716,70,49,6,7,8,3,2,14,2993,512,190,322,120,6,5.829193458543422,0.0290824062174282,8.139852090871875,0.3783642621723791,0.6216357378276209,0.5960463147963149,0.0259176587301587,0.0227047258297258,5.137107683982684,0.0244620090275578,5.422397573682097,6.919542447429822,8.671849470514655,0.0277805466950203,3.855942682761568,6.5284007659007655,0.9489703124920252,0.5944450356473362,0,6,1,9,260,244,26,24.0,44,1,436,212,224,2,6,0,0.25,0.4848816993577313,0.5151183006422687,0.0,0.2851190476190476,0.0949404761904761,0.5375,26.56309523809524,24.933630952380952,3.284821428571429,2.515178571428572,5.109523809523809,0.0178571428571428,69.16,194.7,164.7
8,DAL,2025,REG,3406,338,234,104,2418,2418,2569,1041,227,1086,119,68,10,18,7,10,4,29,4478,580,227,353,247,6,7.692361182559178,0.0505506950705694,9.683633460752809,0.3939721078234731,0.606027892176527,0.6865457402137591,0.0187423687423687,0.0573402826107356,7.224813396229894,0.0586197581037622,7.398238893698131,7.878296480876461,10.567502101524871,0.0411686323810906,4.762581623438717,7.656156679195894,0.7697776706539637,0.5908525289441866,0,4,1,5,357,282,8,19.0,53,1,566,268,298,3,6,0,0.3333333333333333,0.4763424956387493,0.5236575043612507,0.0,0.2828042328042328,0.0482804232804232,0.2951058201058201,34.6452380952381,29.130026455026456,1.112830687830688,1.3018518518518518,4.604497354497354,0.0297619047619047,181.82,191.2,377.2
9,DEN,2025,REG,3346,350,213,137,2126,2126,2760,1152,270,1286,107,67,10,18,8,4,2,28,4526,631,270,361,227,0,7.247829481281644,0.0448250524782928,9.468825190882496,0.4307656655588791,0.5692343344411209,0.6110614944235634,0.0240081214219145,0.0539292780844504,6.128375954582851,0.0569188692882518,6.493784856174334,8.495024293606683,10.01342596171725,0.036449528994901,4.771500408943398,7.981620513844652,0.8615330155148211,0.5468000983790727,0,5,2,6,357,329,11,46.0,99,0,578,254,324,7,3,0,0.7,0.4386614974661193,0.5613385025338806,0.0,0.218015873015873,0.2940079365079365,0.8551984126984127,31.898373015873016,27.68956349206349,1.9699603174603173,4.02515873015873,9.576468253968256,0.0,193.44,235.4,342.8
