team,QB,RB,WR
ARI,83.35,36.44,57.55
ATL,61.83,84.53333333333333,43.38
BAL,55.21333333333333,48.775000000000006,49.760000000000005
BUF,105.96,67.83333333333333,47.98333333333333
CAR,57.239999999999995,78.10000000000001,37.24285714285714
CHI,94.41000000000001,51.525,65.99600000000001
CIN,68.56666666666666,50.23333333333333,74.44
CLE,69.16,48.675,27.45
DAL,90.91000000000001,47.8,75.44
DEN,96.72,78.46666666666667,57.13333333333333
DET,82.19999999999999,58.24399999999999,83.85
GB,142.84,67.33333333333333,31.375
HOU,81.03,33.480000000000004,40.65
IND,67.30666666666666,75.625,68.32000000000001
JAX,150.12,62.13333333333333,47.974999999999994
KC,105.43,43.95,59.083333333333336
LAC,106.83000000000001,35.62,70.71666666666667
LAR,94.94,95.9,67.73333333333333
LV,57.44,40.050000000000004,33.1
MIA,46.85999999999999,83.96666666666667,42.98857142857143
MIN,47.20000000000001,42.22,48.11666666666667
NE,106.39,41.339999999999996,75.3
NO,69.34,47.96666666666667,67.33333333333333
NYG,108.11,70.93333333333334,34.975
NYJ,77.24,40.632000000000005,28.55
PHI,87.29,38.775,57.425
PIT,71.69999999999999,65.43333333333334,32.17142857142857
SEA,48.96,48.35,65.94285714285715
SF,58.26,146.05,42.03333333333333
TB,82.69,49.6,50.65714285714285
TEN,79.0,45.56666666666666,40.379999999999995
WAS,94.02000000000001,45.375,38.925
