team,season,QB_Fantasy_Pts,RB_Fantasy_Pts,WR_Fantasy_Pts
ARI,2025,166.7,182.2,230.2
ATL,2025,123.66,253.6,216.9
BAL,2025,165.64,195.10000000000002,248.8
BUF,2025,211.92,203.5,287.9
CAR,2025,114.47999999999999,234.3,260.7
CHI,2025,188.82000000000002,206.1,329.98
CIN,2025,205.7,150.7,372.2
CLE,2025,69.16,194.7,164.7
DAL,2025,181.82000000000002,191.2,377.2
DEN,2025,193.44,235.4,342.8
DET,2025,164.39999999999998,291.21999999999997,335.4
GB,2025,142.84,202.0,251.0
HOU,2025,162.06,167.4,325.2
IND,2025,201.92,302.5,341.6
JAX,2025,150.12,186.4,383.79999999999995
KC,2025,210.86,175.8,354.5
LAC,2025,213.66000000000003,178.1,424.3
LAR,2025,189.88,191.8,406.40000000000003
LV,2025,114.88,160.20000000000002,165.5
MIA,2025,140.57999999999998,251.9,300.92
MIN,2025,141.60000000000002,168.88,288.7
NE,2025,212.78,206.7,376.5
NO,2025,138.68,143.9,202.0
NYG,2025,216.22,212.8,279.8
NYJ,2025,154.48,203.16000000000003,228.4
PHI,2025,174.58,155.1,229.7
PIT,2025,143.39999999999998,196.3,225.2
SEA,2025,146.88,193.4,461.6
SF,2025,174.78,292.1,252.2
TB,2025,165.38,198.4,354.59999999999997
TEN,2025,79.0,136.7,201.89999999999998
WAS,2025,188.04000000000002,181.5,311.4
