team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,rush_pct_off,pass_pct_off,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,total_tds,td_pct,total_yards,yptouch,interception_def,fumble_def,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,rush_pct_def,pass_pct_def
ARI,2012,REG,4587,587.0,337.0,250.0,3383.0,4862.0,3383.0,1363.0,352,1204.0,168.0,58.0,10.0,11.0,21.0,22.0,1018,348,665,233.0,42.0,0.34,0.65,4.51,8.283,1.0,1.0,0.574,0.036,0.019,5.76,0.019,5.76,8.28,10.04,0.028,3.42,32.0,0.03,7970.0,6.25,22.0,19.0,731.0,120.0,42.0,38.0,84.0,4,1043,488,535,45.6875,7.5,2.625,2.375,5.25,0.25,0.47,0.51
ATL,2012,POST,894,74.0,54.0,20.0,646.0,920.0,646.0,121.0,49,248.0,37.0,11.0,0.0,6.0,3.0,1.0,127,49,78,54.0,0.0,0.39,0.61,7.04,12.432,1.0,1.0,0.73,0.041,0.081,8.73,0.081,8.73,12.43,11.96,0.0,5.06,12.0,0.07,1540.0,8.7,1.0,2.0,74.0,21.0,0.0,3.0,5.0,0,117,57,60,43.11111111111112,7.388888888888889,1.3888888888888888,1.7777777777777777,4.111111111111111,0.1111111111111111,0.49,0.51
ATL,2012,REG,6116,601.0,422.0,179.0,4719.0,5004.0,4719.0,2061.0,379,1397.0,246.0,70.0,12.0,32.0,14.0,9.0,1023,366,644,408.0,6.0,0.36,0.63,5.98,8.326,5.439,8.122,0.702,0.023,0.053,7.85,0.053,7.85,8.33,11.18,0.032,3.69,76.0,0.05,10835.0,7.73,20.0,16.0,702.0,112.0,25.0,29.0,69.0,2,992,407,581,43.11111111111112,7.388888888888889,1.3888888888888888,1.7777777777777777,4.111111111111111,0.1111111111111111,0.41,0.59
BAL,2012,POST,1679,126.0,73.0,53.0,1140.0,1541.0,1140.0,366.0,139,539.0,53.0,25.0,5.0,11.0,0.0,5.0,271,136,132,124.0,0.0,0.5,0.49,6.2,12.23,1.0,1.0,0.579,0.0,0.087,9.05,0.087,9.05,12.23,15.62,0.036,3.88,27.0,0.08,2819.0,8.34,6.0,6.0,190.0,55.0,18.0,9.0,25.0,1,317,127,187,43.4,13.7,8.05,2.3,5.4,0.15,0.4,0.59
BAL,2012,REG,5897,549.0,334.0,215.0,3996.0,5498.0,3996.0,1624.0,444,1901.0,182.0,98.0,19.0,22.0,11.0,15.0,1043,430,599,383.0,18.0,0.41,0.57,5.65,10.015,3.568,4.357,0.608,0.02,0.04,7.28,0.04,7.28,10.01,11.96,0.043,4.28,63.0,0.05,9893.0,7.46,13.0,22.0,678.0,219.0,143.0,37.0,83.0,2,1088,486,593,43.4,13.7,8.05,2.3,5.4,0.15,0.45,0.55
BUF,2012,REG,5647,494.0,309.0,185.0,3430.0,3972.0,3430.0,1805.0,442,2217.0,176.0,103.0,15.0,24.0,17.0,25.0,984,432,540,338.0,12.0,0.44,0.55,5.74,8.04,1.0,1.0,0.626,0.034,0.049,6.94,0.049,6.94,8.04,11.1,0.034,5.02,63.0,0.05,9077.0,7.29,12.0,24.0,612.0,207.0,121.0,36.0,63.0,1,1044,461,569,38.25,12.9375,7.5625,2.25,3.9375,0.0625,0.44,0.55
CAR,2012,REG,5989,478.0,284.0,194.0,3927.0,4562.0,3920.0,1740.0,462,2062.0,171.0,123.0,23.0,19.0,12.0,18.0,988,452,524,346.0,18.0,0.46,0.53,6.06,9.544,1.0,1.0,0.594,0.025,0.04,8.22,0.04,8.2,9.54,13.8,0.05,4.46,61.0,0.05,9909.0,8.1,11.0,22.0,658.0,188.0,23.0,39.0,63.0,3,1014,407,597,41.125,11.75,1.4375,2.4375,3.9375,0.1875,0.4,0.59
CHI,2012,REG,5268,469.0,287.0,182.0,3298.0,4830.0,3298.0,1231.0,471,1970.0,163.0,99.0,12.0,21.0,16.0,21.0,1001,452,530,323.0,12.0,0.45,0.53,5.26,10.299,1.0,1.0,0.612,0.034,0.045,7.03,0.045,7.03,10.3,11.49,0.025,4.18,54.0,0.04,8566.0,6.98,24.0,33.0,709.0,120.0,17.0,41.0,57.0,9,1023,378,633,44.3125,7.5,1.0625,2.5625,3.5625,0.5625,0.37,0.62
CIN,2012,POST,207,29.0,14.0,15.0,127.0,330.0,127.0,40.0,16,80.0,5.0,5.0,0.0,0.0,1.0,0.0,48,15,32,7.0,0.0,0.31,0.67,4.31,11.379,1.0,1.0,0.483,0.034,0.0,4.38,0.0,4.38,11.38,9.07,0.0,5.0,0.0,0.0,334.0,5.66,1.0,1.0,60.0,9.0,1.0,0.0,2.0,1,77,37,36,42.05882352941177,13.823529411764708,3.0,3.0,5.352941176470588,0.2352941176470588,0.48,0.47
CIN,2012,REG,5552,524.0,335.0,189.0,3807.0,4681.0,3807.0,1695.0,430,1745.0,173.0,95.0,11.0,28.0,16.0,20.0,1016,412,583,371.0,24.0,0.41,0.57,5.46,8.933,14.185,18.069,0.639,0.031,0.053,7.27,0.053,7.27,8.93,11.36,0.026,4.06,67.0,0.05,9359.0,7.26,14.0,25.0,655.0,226.0,50.0,51.0,89.0,3,1035,413,609,42.05882352941177,13.823529411764708,3.0,3.0,5.352941176470588,0.2352941176470588,0.4,0.59
